version 1
46	Berlin_1_256.map	256	256	150	243	84	86	184.33809509
41	Berlin_1_256.map	256	256	111	204	174	70	165.95331879
9	Berlin_1_256.map	256	256	162	208	126	208	36.00000000
63	Berlin_1_256.map	256	256	240	101	30	73	252.02438660
64	Berlin_1_256.map	256	256	0	9	218	84	258.43860016
65	Berlin_1_256.map	256	256	247	29	18	91	261.71067810
79	Berlin_1_256.map	256	256	254	213	81	4	318.29141388
65	Berlin_1_256.map	256	256	80	9	192	205	261.13708496
62	Berlin_1_256.map	256	256	38	247	178	95	250.79393921
88	Berlin_1_256.map	256	256	3	248	228	96	352.62236633
48	Berlin_1_256.map	256	256	172	9	169	182	195.15432892
